timestamp,date,username,category,description,duration_min
2026-03-09T10:08:08+08:00,2026-03-09,serol,Support,Flyer Request,30
2026-03-09T12:52:21+08:00,2026-03-09,Syamil,Review,Updated QA-0B65FA [OTP Feature Adjustment – VORWERK MALAYSIA ENTERPRISES SDN BHD - Sold-To: 9000000121] → Backlog 100% | Proposed to aliah to enable SI,10
2026-03-09T16:14:11+08:00,2026-03-09,Syamil,Review,Updated QA-414F8E [New added Postcode 47310] → Done 100% | added postcode in Splunk,5
2026-03-09T16:15:03+08:00,2026-03-09,Syamil,Review,Updated QA-B878FD [MY Hypercare Performance - Amway] → Done 100% | Added summary by date,60
2026-03-09T16:18:22+08:00,2026-03-09,Syamil,Review,Updated QA-E50879 [Missing Lost Report] → In Progress 80% | INC68853752 has been raised. waiting for update from IT support,10
2026-03-12T10:19:08+08:00,2026-03-12,Syamil,Review,Updated QA-8C3DF3 [Request for POD by Aliah] → Backlog 100% | Already sent to email,30
2026-03-12T10:19:51+08:00,2026-03-12,Syamil,Review,Updated QA-8C3DF3 [Request for POD by Aliah] → Done 100% | Already sent to email,30
2026-03-12T11:26:29+08:00,2026-03-12,serol,Review,Updated QA-6C7A81 [SCNC Failure Distribution] → Done 100% | Share the files through ws,45
2026-03-12T11:27:37+08:00,2026-03-12,serol,Review,"Updated QA-7EE7E5 [Volume Tracker Dashboard - Sales PIC volume] → In Progress 50% | Held a discussion with Gomathy & azihah. Azihah will update the files on daily basis, any movement for sales PIC will be",45
2026-03-12T11:28:32+08:00,2026-03-12,serol,Review,Updated QA-19955A [Amway Dashboard] → Done 100% | added the view for total volume & percentage delivered in 3working days.,70
2026-03-12T11:29:46+08:00,2026-03-12,serol,Review,Updated QA-E50879 [Missing Lost Report] → Done 100% | Report updated with opsx email as recipient,15
2026-03-12T16:13:31+08:00,2026-03-12,serol,Review,Updated QA-376404 [Adding Samsung in Hypercare] → Done 100% | add SAMSUNG SDS MALAYSIA SDN BHD in hypercare,10
2026-03-17T10:12:12+08:00,2026-03-17,Syamil,Review,Updated QA-BFF0D8 [Project Wingtai Queries from Customer (SNT Global)] → Done 100% | Assist to check with on the billing weight for the below order and attached excel files,30
2026-03-17T10:14:17+08:00,2026-03-17,Syamil,Review,Updated QA-6AF447 [Penalty Agent Labuan ] → Done 0% | proceed penalty RM 100 for agent Labuan,30
